#Phys Ch#,APV-A,APV-B,   APV-C,     APV-D,APV-E,APV-F,APV-G,APV-H
78,    (1,16),    (4,5),    (13,21),    (14,3),    (27,7),    (26,20),    (25,33),    (24,46)    
79,    (1,11),    (4,10),    (12,16),    (15,11),    (22,7),    (21,20),    (20,33),    (19,46)    
80,    (-1,-1),    (4,4),    (13,20),    (14,2),    (28,7),    (27,20),    (26,33),    (25,46)    
81,    (-1,-1),    (4,9),    (12,15),    (15,10),    (23,7),    (22,20),    (21,33),    (20,46)    
82,    (-1,-1),    (4,3),    (12,25),    (14,1),    (24,8),    (28,20),    (27,33),    (26,46)    
83,    (-1,-1),    (4,8),    (12,14),    (15,9),    (19,8),    (23,20),    (22,33),    (21,46)    
84,    (-1,-1),    (4,2),    (12,24),    (15,6),    (25,8),    (24,21),    (28,33),    (27,46)    
85,    (-1,-1),    (4,7),    (11,19),    (15,8),    (20,8),    (19,21),    (23,33),    (22,46)    
86,    (-1,-1),    (4,1),    (12,23),    (15,5),    (26,8),    (25,21),    (24,34),    (28,46)    
87,    (-1,-1),    (4,6),    (11,18),    (15,7),    (21,8),    (20,21),    (19,34),    (23,46)    
88,    (-1,-1),    (5,5),    (12,22),    (15,4),    (27,8),    (26,21),    (25,34),    (24,47)    
89,    (-1,-1),    (5,10),    (11,17),    (16,12),    (22,8),    (21,21),    (20,34),    (19,47)    
90,    (-1,-1),    (5,4),    (12,21),    (15,3),    (28,8),    (27,21),    (26,34),    (25,47)    
91,    (-1,-1),    (5,9),    (11,16),    (16,11),    (23,8),    (22,21),    (21,34),    (20,47)    
92,    (-1,-1),    (5,3),    (12,20),    (15,2),    (24,9),    (28,21),    (27,34),    (26,47)    
93,    (-1,-1),    (5,8),    (11,15),    (16,10),    (19,9),    (23,21),    (22,34),    (21,47)    
94,    (-1,-1),    (5,2),    (11,25),    (15,1),    (25,9),    (24,22),    (28,34),    (27,47)    
95,    (-1,-1),    (5,7),    (11,14),    (16,9),    (20,9),    (19,22),    (23,34),    (22,47)    
96,    (-1,-1),    (5,1),    (11,24),    (16,6),    (26,9),    (25,22),    (24,35),    (28,47)    
97,    (-1,-1),    (5,6),    (10,20),    (16,8),    (21,9),    (20,22),    (19,35),    (23,47)    
98,    (-1,-1),    (6,5),    (11,23),    (16,5),    (27,9),    (26,22),    (25,35),    (24,48)    
99,    (-1,-1),    (6,10),    (10,19),    (16,7),    (22,9),    (21,22),    (20,35),    (19,48)    
100,    (-1,-1),    (6,4),    (11,22),    (16,4),    (28,9),    (27,22),    (26,35),    (25,48)    
101,    (-1,-1),    (6,9),    (10,18),    (17,12),    (23,9),    (22,22),    (21,35),    (20,48)    
102,    (-1,-1),    (6,3),    (11,21),    (16,3),    (24,10),    (28,22),    (27,35),    (26,48)    
103,    (-1,-1),    (6,8),    (10,17),    (17,11),    (19,10),    (23,22),    (22,35),    (21,48)    
104,    (-1,-1),    (6,2),    (11,20),    (16,2),    (25,10),    (24,23),    (28,35),    (27,48)    
105,    (-1,-1),    (6,7),    (10,16),    (17,10),    (20,10),    (19,23),    (23,35),    (22,48)    
106,    (-1,-1),    (6,1),    (10,25),    (16,1),    (26,10),    (25,23),    (24,36),    (28,48)    
107,    (-1,-1),    (6,6),    (10,15),    (17,9),    (21,10),    (20,23),    (19,36),    (23,48)    
108,    (-1,-1),    (7,5),    (10,24),    (17,5),    (27,10),    (26,23),    (25,36),    (24,49)    
109,    (-1,-1),    (7,10),    (10,14),    (17,8),    (22,10),    (21,23),    (20,36),    (19,49)    
110,    (-1,-1),    (7,4),    (10,23),    (17,4),    (28,10),    (27,23),    (26,36),    (25,49)    
111,    (-1,-1),    (7,9),    (9,20),    (17,7),    (23,10),    (22,23),    (21,36),    (20,49)    
112,    (-1,-1),    (7,3),    (10,22),    (17,3),    (24,11),    (28,23),    (27,36),    (26,49)    
113,    (-1,-1),    (7,8),    (9,19),    (17,6),    (19,11),    (23,23),    (22,36),    (21,49)    
114,    (-1,-1),    (7,2),    (10,21),    (17,2),    (25,11),    (24,24),    (28,36),    (27,49)    
115,    (-1,-1),    (7,7),    (9,18),    (18,12),    (20,11),    (19,24),    (23,36),    (22,49)    
116,    (-1,-1),    (7,1),    (9,25),    (17,1),    (26,11),    (25,24),    (24,37),    (28,49)    
117,    (-1,-1),    (7,6),    (9,17),    (18,11),    (21,11),    (20,24),    (19,37),    (23,49)    
118,    (-1,-1),    (8,5),    (9,24),    (18,5),    (27,11),    (26,24),    (25,37),    (24,50)    
119,    (-1,-1),    (8,10),    (9,16),    (18,10),    (22,11),    (21,24),    (20,37),    (19,50)    
120,    (-1,-1),    (8,4),    (9,23),    (18,4),    (28,11),    (27,24),    (26,37),    (25,50)    
121,    (-1,-1),    (8,9),    (9,15),    (18,9),    (23,11),    (22,24),    (21,37),    (20,50)    
122,    (-1,-1),    (8,3),    (9,22),    (18,3),    (24,12),    (28,24),    (27,37),    (26,50)    
123,    (-1,-1),    (8,8),    (9,14),    (18,8),    (19,12),    (23,24),    (22,37),    (21,50)    
124,    (-1,-1),    (8,2),    (9,21),    (18,2),    (25,12),    (24,25),    (28,37),    (27,50)    
125,    (-1,-1),    (8,7),    (-1,-1),    (18,7),    (20,12),    (19,25),    (23,37),    (22,50)    
126,    (-1,-1),    (8,1),    (-1,-1),    (18,1),    (26,12),    (25,25),    (24,38),    (28,50)    
127,    (-1,-1),    (8,6),    (-1,-1),    (18,6),    (21,12),    (20,25),    (19,38),    (23,50)    
